Sigla Provincia
PD
LO
LC
SI
OR
PE
MI
PZ
RG
FG
CN
MT
AQ
RI
BZ
SA
NA
CT
FR
CS
BS
PU
MN
CR
VT
VV
AP
TR
BA
CL
CB
IS
AL
BG
RO
VR
RM
RC
PC
SS
EN
PT
AT
TO
BL
VA
MB
NO
AG
AN
VI
AO
AV
UD
CE
BI
BN
IM
TN
PV
VC
SV
TE
SO
PR
CO
CZ
RE
TP
ME
LE
RA
PA
FM
CH
TV
LU
SP
PN
BT
AR
VE
VB
BO
MC
LT
NU
SU
GR
GE
FE
CA
PG
SR
MS
TA
PI
FI
FC
MO
RN
KR
LI
BR
PO
GO
TS
PD
